"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"Stat5a_GSM904766_DKI-IL2_T-Cells"	"T-Cells"	"[PC] Splenic T cells (stat5a/stat5b double knock in)"	""	"Stat5a"	20850	"GSE36882"	"GSM904766"	"tf"
"Stat5b_GSM310072_8hr_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5b"	20851	"GSE12346"	"GSM310072"	"tf"
"Stat5b_GSM310075_13hr_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5b"	20851	"GSE12346"	"GSM310075"	"tf"
"Stat5b_GSM310078_2rounds_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat5b"	20851	"GSE12346"	"GSM310078"	"tf"
"Stat5b_GSM904761_WT-IL2_T-Cells"	"T-Cells"	"[PC] Splenic T cells"	""	"Stat5b"	20851	"GSE36882"	"GSM904761"	"tf"
"Stat5b_GSM904767_DKI-IL2_T-Cells"	"T-Cells"	"[PC] Splenic T cells (stat5a/stat5b double knock in)"	""	"Stat5b"	20851	"GSE36882"	"GSM904767"	"tf"
"Stat6_GSM550311_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Stat6"	20852	"GSE22104"	"GSM550311"	"tf"
"Tbet_GSM836124_WT_Th1_T-Cells"	"T-Cells"	"[PC] Th1"	"BTO:0001678"	"Tbx21"	57765	"GSE33802"	"GSM836124"	"tf"
"CBFb_GSM832322_Thymocyte"	"Thymocytes"	"[PC] Thymocyte (Runx1fl/fl)"	"BTO:0001372"	"Cbfb"	12400	"GSE33653"	"GSM832322"	"tf"
"Rag2_GSM530318_Thymocytes"	"Thymocytes"	"[PC] Thymocytes"	"BTO:0001372"	"Rag2"	19374	"GSE21207"	"GSM530318"	"tf"
"Ring1b_GSM832323_Thymocyte"	"Thymocytes"	"[PC] Thymocyte (Runx1fl/fl)"	"BTO:0001372"	"Rnf2"	19821	"GSE33653"	"GSM832323 "	"tf"
"Runx1_GSM832321_Thymocyte"	"Thymocytes"	"[PC] Thymocyte (Runx1fl/fl)"	"BTO:0001372"	"Runx1"	12394	"GSE33653"	"GSM832321"	"tf"
"BatF_GSE40918_Th0_IRF4_ko_48h_T_Cells"	"T-Cells"	"[PC] Th0 (IRF4 KO)"	"BTO:0002417"	"Batf"	53314	"GSE40918"	"GSM1004790-2 "	"tf"
"BatF_GSE40918_Th0_IRF4_wt_48h_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Batf"	53314	"GSE40918"	"GSM1004789-91 "	"tf"
"BatF_GSE40918_Th0_wt_T_Cells"	"T-Cells"	"[PC] Th0"	"BTO:0002417"	"Batf"	53314	"GSE40918"	"GSM1004784-5 "	"tf"
"BatF_GSE40918_Th17_IRF4_ko_48h_T_Cells"	"T-Cells"	"[PC] Th17 (IRF4 KO)"	""	"Batf"	53314	"GSE40918"	"GSM1004795-7 "	"tf"
"BatF_GSE40918_Th17_IRF4_wt_48h_T_Cells"	"T-Cells"	"[PC] Th17"	""	"Batf"	53314	"GSE40918"	"GSM1004794-6 "	"tf"
